t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
62,5.421010862427522e-22,5.587615256608247e-22,-1.2303068450140587e-22,0.0,1.5924703481333503e-21,0.0,3.9113306796257727e-22,3.575550594906434e-22,0.0,0.0,0.0,0.0
63,2.710505431213761e-22,2.793812418350105e-22,-6.15153662480779e-23,0.0,7.962365392297798e-22,0.0,1.9556686928450731e-22,1.7877749374925927e-22,2.350988701644575e-38,0.0,0.0,0.0
64,1.3552527156068806e-22,1.396911436263271e-22,-3.0757653563765804e-23,0.0,3.981197593350322e-22,0.0,9.778380053842896e-23,8.938879121503935e-23,0.0,0.0,0.0,-8.816207631167156e-39
65,6.776263578034403e-23,6.98461240067831e-23,-1.5378738214276638e-23,0.0,1.990614534193318e-22,0.0,4.889228680474817e-23,4.469452845892907e-23,0.0,0.0,0.0,1.4693679385278594e-39
66,3.3881317890172014e-23,3.4923626617803366e-23,-7.689217624540534e-24,0.0,9.953233586073958e-23,0.0,2.4446538632462354e-23,2.234749145336121e-23,5.877471754111438e-39,0.0,0.0,0.0
67,1.6940658945086007e-23,1.746237072615055e-23,-3.8443923841180105e-24,0.0,4.976775656952906e-23,0.0,1.2223659508305384e-23,1.1174070368908991e-23,0.0,0.0,0.0,-1.1020259538958945e-39
68,8.470329472543004e-24,8.731713833080814e-24,-1.9219149706956137e-24,0.0,2.4885384424280318e-23,0.0,6.112199683156569e-24,5.587457016499583e-24,7.346839692639297e-40,0.0,0.0,-5.510129769479473e-40
69,4.235164736271502e-24,4.366333110384441e-24,-9.606140675449756e-25,0.0,1.2444049364595654e-23,0.0,3.0564331772691084e-24,2.7942436349540382e-24,3.6734198463196485e-40,0.0,0.0,9.183549615799121e-41
70,2.117582368135751e-24,2.183566245247909e-24,-4.799066627507586e-25,0.0,6.22316379895654e-24,0.0,1.5284963716735362e-24,1.397722374009613e-24,1.8367099231598242e-40,0.0,0.0,-4.591774807899561e-41
71,1.0587911840678754e-24,1.092081979591087e-24,-2.395040244756195e-25,0.0,3.1124336418345978e-24,0.0,7.644573857137609e-25,6.995351473544462e-25,0.0,0.0,0.0,2.2958874039497803e-41
72,5.293955920339377e-25,5.462154811133164e-25,-1.192646003622099e-25,0.0,1.5567141211729516e-24,0.0,3.8235083677932147e-25,3.5049869149062285e-25,0.0,0.0,0.0,0.0
73,2.6469779601696886e-25,2.731361089688128e-25,-5.912036672613258e-26,0.0,7.784379105611163e-25,0.0,1.9119527627816894e-25,1.7601724592776998e-25,-4.591774807899561e-41,0.0,0.0,5.739718509874451e-42
74,1.3234889800848443e-25,1.3643134993248626e-25,-2.9039892626719853e-26,0.0,3.888293473075858e-25,0.0,9.550194495274038e-26,8.878905906840465e-26,0.0,0.0,0.0,8.609577764811676e-42
75,6.617444900424222e-26,6.789880770642732e-26,-1.400975427068375e-26,0.0,1.9351160196331785e-25,0.0,4.7529165394499124e-26,4.515981759821659e-26,0.0,0.0,0.0,0.0
76,3.308722450212111e-26,3.344218196745113e-26,-6.525121010247687e-27,0.0,9.531021860723572e-26,0.0,2.340952737721579e-26,2.329954298674958e-26,-8.609577764811676e-42,0.0,0.0,1.4349296274686127e-42
77,1.6543612251060554e-26,1.6019201531608542e-26,-2.8349276670143127e-27,0.0,4.565472436508434e-26,0.0,1.121344107212598e-26,1.2291220750539084e-26,0.0,0.0,0.0,3.587324068671532e-43
78,8.271806125530277e-27,7.115490944698265e-27,-1.0643451298263305e-27,0.0,2.0279149192390054e-26,0.0,4.980843661288785e-27,6.675288430790782e-27,-1.4349296274686127e-42,0.0,0.0,2.6904930515036488e-43
79,4.1359030627651385e-27,2.4813585554930523e-27,-2.7591015301704e-28,0.0,7.071871883155198e-27,0.0,1.7369509888451363e-27,3.722037833239578e-27,0.0,0.0,0.0,0.0
